id,body,date,amount,sender,recipient_name,recipient_phone,fee,new_balance,transaction_type
753,"*113*R*A bank deposit of 40000 RWF has been added to your mobile money account at 2024-09-01 17:49:16. Your NEW BALANCE :51870 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-09-01 15:49:16",40000,"unknown sender","your mobile money account at",2024,0,51870,"Bank Deposit"
754,"*165*S*700 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-09-02 19:40:08 . Fee was: 20 RWF. New balance: 25130 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-02 17:40:08",700,"unknown sender","jane smith",250790777777,20,25130,"Transfer to Mobile"
755,"TxId: 78378077317. Your payment of 1,500 RWF to Jane Smith 86197 has been completed at 2024-09-02 17:40:32. Your new balance: 26,870 RWF. Fee was 0 RWF.","2024-09-02 15:40:32",1500,"unknown sender","jane smith",86197,0,26870,"Payment to Code Holder"
756,"*165*S*700 RWF transferred to Alex Doe (250791666666) from 36521838 at 2024-09-02 20:17:50 . Fee was: 20 RWF. New balance: 23690 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-02 18:17:50",700,"unknown sender","alex doe",250791666666,20,23690,"Transfer to Mobile"
757,"*162*TxId:15538355693*S*Your payment of 3000 RWF to Airtime with token  has been completed at 2024-09-02 11:07:16. Fee was 0 RWF. Your new balance: 870 RWF . Message: - -. *EN#","2024-09-02 09:07:16",3000,"unknown sender","airtime with token  has been completed at",2024,0,870,"Payment to Code Holder"
758,"TxId: 71779593744. Your payment of 3,500 RWF to Linda Green 72373 has been completed at 2024-09-03 13:13:07. Your new balance: 18,190 RWF. Fee was 0 RWF.","2024-09-03 11:13:07",3500,"unknown sender","linda green",72373,0,18190,"Payment to Code Holder"
759,"*165*S*1000 RWF transferred to Alex Doe (250790777777) from 36521838 at 2024-09-02 19:32:25 . Fee was: 20 RWF. New balance: 25850 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-02 17:32:25",1000,"unknown sender","alex doe",250790777777,20,25850,"Transfer to Mobile"
760,"*165*S*10000 RWF transferred to Linda Green (250791666666) from 36521838 at 2024-09-03 18:36:22 . Fee was: 100 RWF. New balance: 3090 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-03 16:36:22",10000,"unknown sender","linda green",250791666666,100,3090,"Transfer to Mobile"
761,"*165*S*700 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-09-02 20:17:19 . Fee was: 20 RWF. New balance: 24410 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-02 18:17:19",700,"unknown sender","jane smith",250788999999,20,24410,"Transfer to Mobile"
762,"*113*R*A bank deposit of 50000 RWF has been added to your mobile money account at 2024-09-03 21:02:44. Your NEW BALANCE :51590 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-09-03 19:02:44",50000,"unknown sender","your mobile money account at",2024,0,51590,"Bank Deposit"
763,"TxId: 17120559943. Your payment of 5,000 RWF to Linda Green 99420 has been completed at 2024-09-03 17:49:33. Your new balance: 13,190 RWF. Fee was 0 RWF.","2024-09-03 15:49:33",5000,"unknown sender","linda green",99420,0,13190,"Payment to Code Holder"
764,"TxId: 71235033735. Your payment of 2,000 RWF to Linda Green 46799 has been completed at 2024-09-02 22:36:13. Your new balance: 21,690 RWF. Fee was 0 RWF.","2024-09-02 20:36:13",2000,"unknown sender","linda green",46799,0,21690,"Payment to Code Holder"
765,"TxId: 63961191384. Your payment of 5,000 RWF to Jane Smith 25674 has been completed at 2024-09-04 13:36:38. Your new balance: 40,590 RWF. Fee was 0 RWF.","2024-09-04 11:36:38",5000,"unknown sender","jane smith",25674,0,40590,"Payment to Code Holder"
766,"TxId: 15812096064. Your payment of 4,500 RWF to Jane Smith 10890 has been completed at 2024-09-04 17:43:39. Your new balance: 36,090 RWF. Fee was 0 RWF.","2024-09-04 15:43:39",4500,"unknown sender","jane smith",10890,0,36090,"Payment to Code Holder"
767,"TxId: 83422016891. Your payment of 1,500 RWF to Jane Smith 25500 has been completed at 2024-09-04 09:47:40. Your new balance: 45,590 RWF. Fee was 0 RWF.","2024-09-04 07:47:40",1500,"unknown sender","jane smith",25500,0,45590,"Payment to Code Holder"
768,"TxId: 57527013791. Your payment of 2,500 RWF to Samuel Carter 76240 has been completed at 2024-09-04 21:01:35. Your new balance: 31,090 RWF. Fee was 0 RWF.","2024-09-04 19:01:35",2500,"unknown sender","samuel carter",76240,0,31090,"Payment to Code Holder"
769,"TxId: 49794854165. Your payment of 4,500 RWF to Linda Green 74481 has been completed at 2024-09-03 21:03:08. Your new balance: 47,090 RWF. Fee was 0 RWF.","2024-09-03 19:03:08",4500,"unknown sender","linda green",74481,0,47090,"Payment to Code Holder"
770,"*165*S*1500 RWF transferred to Linda Green (250788999999) from 36521838 at 2024-09-05 09:47:58 . Fee was: 100 RWF. New balance: 24490 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-05 07:47:58",1500,"unknown sender","linda green",250788999999,100,24490,"Transfer to Mobile"
771,"TxId: 80939174580. Your payment of 6,000 RWF to Alex Doe 67793 has been completed at 2024-09-05 13:32:48. Your new balance: 18,490 RWF. Fee was 0 RWF.","2024-09-05 11:32:48",6000,"unknown sender","alex doe",67793,0,18490,"Payment to Code Holder"
772,"TxId: 61863630305. Your payment of 5,000 RWF to Alex Doe 62262 has been completed at 2024-09-04 23:02:36. Your new balance: 26,090 RWF. Fee was 0 RWF.","2024-09-04 21:02:36",5000,"unknown sender","alex doe",62262,0,26090,"Payment to Code Holder"
773,"TxId: 67353135596. Your payment of 2,500 RWF to Linda Green 60962 has been completed at 2024-09-04 20:34:33. Your new balance: 33,590 RWF. Fee was 0 RWF.","2024-09-04 18:34:33",2500,"unknown sender","linda green",60962,0,33590,"Payment to Code Holder"
774,"TxId: 95155933276. Your payment of 1,500 RWF to Samuel Carter 47641 has been completed at 2024-09-05 20:00:19. Your new balance: 15,490 RWF. Fee was 0 RWF.","2024-09-05 18:00:19",1500,"unknown sender","samuel carter",47641,0,15490,"Payment to Code Holder"
775,"TxId: 52713686775. Your payment of 2,000 RWF to Samuel Carter 70583 has been completed at 2024-09-05 20:15:34. Your new balance: 10,490 RWF. Fee was 0 RWF.","2024-09-05 18:15:34",2000,"unknown sender","samuel carter",70583,0,10490,"Payment to Code Holder"
776,"*162*TxId:15594922933*S*Your payment of 3000 RWF to Airtime with token  has been completed at 2024-09-05 20:02:44. Fee was 0 RWF. Your new balance: 12490 RWF . Message: - -. *EN#","2024-09-05 18:02:44",3000,"unknown sender","airtime with token  has been completed at",2024,0,12490,"Payment to Code Holder"
777,"TxId: 60424907269. Your payment of 1,500 RWF to Linda Green 27195 has been completed at 2024-09-03 18:53:19. Your new balance: 1,590 RWF. Fee was 0 RWF.","2024-09-03 16:53:19",1500,"unknown sender","linda green",27195,0,1590,"Payment to Code Holder"
778,"*164*S*Y'ello,A transaction of 5000 RWF by Data Bundle MTN on your MOMO account was successfully completed at 2024-09-06 16:37:52. Message from debit receiver: . Your new balance:890 RWF. Fee was 0 RWF. Financial Transaction Id: 15606505500. External Transaction Id: 17256333763041376.*EN#","2024-09-06 14:37:52",5000,"unknown sender",unknown,N/A,0,890,"Internet/Voice Bundle Purchase"
779,"*113*R*A bank deposit of 20000 RWF has been added to your mobile money account at 2024-09-06 18:54:13. Your NEW BALANCE :20890 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-09-06 16:54:13",20000,"unknown sender","your mobile money account at",2024,0,20890,"Bank Deposit"
780,"TxId: 29253592859. Your payment of 1,500 RWF to Linda Green 11347 has been completed at 2024-09-05 16:18:21. Your new balance: 16,990 RWF. Fee was 0 RWF.","2024-09-05 14:18:21",1500,"unknown sender","linda green",11347,0,16990,"Payment to Code Holder"
781,"You have received 200000 RWF from Samuel Carter (*********726) on your mobile money account at 2024-09-06 19:06:17. Message from sender: . Your new balance:216090 RWF. Financial Transaction Id: 67974931091.","2024-09-06 17:06:17",200000,"samuel carter",unknown,N/A,0,216090,"Incoming Money"
782,"TxId: 18813391203. Your payment of 3,000 RWF to Robert Brown 35273 has been completed at 2024-09-06 15:49:18. Your new balance: 5,890 RWF. Fee was 0 RWF.","2024-09-06 13:49:18",3000,"unknown sender","robert brown",35273,0,5890,"Payment to Code Holder"
783,"*162*TxId:15611958408*S*Your payment of 20000 RWF to MTN Cash Power with token 45758-92310-31845-02327 has been completed at 2024-09-06 21:07:37. Fee was 0 RWF. Your new balance: 192990 RWF . Message: - -. *EN#","2024-09-06 19:07:37",20000,"unknown sender","mtn cash power with token",45758,0,192990,"Payment to Code Holder"
784,"*165*S*1500 RWF transferred to Alex Doe (250788999999) from 36521838 at 2024-09-06 11:57:31 . Fee was: 100 RWF. New balance: 8890 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-06 09:57:31",1500,"unknown sender","alex doe",250788999999,100,8890,"Transfer to Mobile"
785,"*165*S*12500 RWF transferred to Linda Green (250790777777) from 36521838 at 2024-09-06 22:17:02 . Fee was: 250 RWF. New balance: 180290 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-06 20:17:02",12500,"unknown sender","linda green",250790777777,250,180290,"Transfer to Mobile"
786,"*165*S*3000 RWF transferred to Robert Brown (250789888888) from 36521838 at 2024-09-06 19:12:06 . Fee was: 100 RWF. New balance: 212990 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-06 17:12:06",3000,"unknown sender","robert brown",250789888888,100,212990,"Transfer to Mobile"
787,"TxId: 14741959916. Your payment of 4,800 RWF to Robert Brown 32723 has been completed at 2024-09-06 18:54:44. Your new balance: 16,090 RWF. Fee was 0 RWF.","2024-09-06 16:54:44",4800,"unknown sender","robert brown",32723,0,16090,"Payment to Code Holder"
788,"*165*S*14500 RWF transferred to Linda Green (250789888888) from 36521838 at 2024-09-07 18:30:51 . Fee was: 250 RWF. New balance: 154140 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 16:30:51",14500,"unknown sender","linda green",250789888888,250,154140,"Transfer to Mobile"
789,"You have received 50 RWF from Robert Brown (*********711) on your mobile money account at 2024-09-06 21:11:07. Message from sender: . Your new balance:193040 RWF. Financial Transaction Id: 14513684578.","2024-09-06 19:11:07",50,"robert brown",unknown,N/A,0,193040,"Incoming Money"
790,"*165*S*1200 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-09-06 23:57:17 . Fee was: 100 RWF. New balance: 178990 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-06 21:57:17",1200,"unknown sender","jane smith",250788999999,100,178990,"Transfer to Mobile"
791,"*165*S*1000 RWF transferred to Linda Green (250791666666) from 36521838 at 2024-09-07 22:31:05 . Fee was: 20 RWF. New balance: 151080 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 20:31:05",1000,"unknown sender","linda green",250791666666,20,151080,"Transfer to Mobile"
792,"*165*S*700 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-09-07 22:31:39 . Fee was: 20 RWF. New balance: 150360 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 20:31:39",700,"unknown sender","jane smith",250791666666,20,150360,"Transfer to Mobile"
793,"TxId: 37507241088. Your payment of 24,000 RWF to Linda Green 14558 has been completed at 2024-09-08 00:35:20. Your new balance: 126,360 RWF. Fee was 0 RWF.","2024-09-07 22:35:20",24000,"unknown sender","linda green",14558,0,126360,"Payment to Code Holder"
794,"*165*S*1000 RWF transferred to Linda Green (250791666666) from 36521838 at 2024-09-07 19:50:59 . Fee was: 20 RWF. New balance: 153120 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 17:50:59",1000,"unknown sender","linda green",250791666666,20,153120,"Transfer to Mobile"
795,"*165*S*1000 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-09-07 20:06:19 . Fee was: 20 RWF. New balance: 152100 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 18:06:19",1000,"unknown sender","jane smith",250790777777,20,152100,"Transfer to Mobile"
796,"*164*S*Y'ello,A transaction of 20000 RWF by INTOUCH COMMUNICATIONS  LTD on your MOMO account was successfully completed at 2024-09-08 01:12:33. Message from debit receiver: 250795963036. Your new balance:103260 RWF. Fee was 0 RWF. Financial Transaction Id: 15628862865. External Transaction Id: 188160120240907231214390890.*EN#","2024-09-07 23:12:33",20000,"unknown sender",unknown,N/A,0,103260,"Transactions Initiated by Third Parties"
797,"TxId: 95649567862. Your payment of 4,500 RWF to Samuel Carter 78619 has been completed at 2024-09-08 01:19:32. Your new balance: 98,760 RWF. Fee was 0 RWF.","2024-09-07 23:19:32",4500,"unknown sender","samuel carter",78619,0,98760,"Payment to Code Holder"
798,"*165*S*1000 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-09-08 02:27:00 . Fee was: 20 RWF. New balance: 97740 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 00:27:00",1000,"unknown sender","jane smith",250790777777,20,97740,"Transfer to Mobile"
799,"*165*S*10000 RWF transferred to Samuel Carter (250788999999) from 36521838 at 2024-09-07 11:37:17 . Fee was: 100 RWF. New balance: 168890 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 09:37:17",10000,"unknown sender","samuel carter",250788999999,100,168890,"Transfer to Mobile"
800,"TxId: 88126214143. Your payment of 1,500 RWF to Alex Doe 80465 has been completed at 2024-09-08 01:06:16. Your new balance: 124,860 RWF. Fee was 0 RWF.","2024-09-07 23:06:16",1500,"unknown sender","alex doe",80465,0,124860,"Payment to Code Holder"
801,"*165*S*1500 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-09-08 01:06:58 . Fee was: 100 RWF. New balance: 123260 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-07 23:06:58",1500,"unknown sender","jane smith",250788999999,100,123260,"Transfer to Mobile"
802,"*165*S*1000 RWF transferred to Linda Green (250788999999) from 36521838 at 2024-09-08 02:27:39 . Fee was: 20 RWF. New balance: 96720 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 00:27:39",1000,"unknown sender","linda green",250788999999,20,96720,"Transfer to Mobile"
803,"TxId: 68925556497. Your payment of 14,500 RWF to Robert Brown 39629 has been completed at 2024-09-08 13:34:50. Your new balance: 63,180 RWF. Fee was 0 RWF.","2024-09-08 11:34:50",14500,"unknown sender","robert brown",39629,0,63180,"Payment to Code Holder"
804,"TxId: 90275359445. Your payment of 1,500 RWF to Robert Brown 12774 has been completed at 2024-09-08 14:52:24. Your new balance: 61,680 RWF. Fee was 0 RWF.","2024-09-08 12:52:24",1500,"unknown sender","robert brown",12774,0,61680,"Payment to Code Holder"
805,"*165*S*1000 RWF transferred to Alex Doe (250788999999) from 36521838 at 2024-09-08 02:50:08 . Fee was: 20 RWF. New balance: 78700 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 00:50:08",1000,"unknown sender","alex doe",250788999999,20,78700,"Transfer to Mobile"
806,"*165*S*1500 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-09-08 15:45:57 . Fee was: 100 RWF. New balance: 59060 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 13:45:57",1500,"unknown sender","jane smith",250790777777,100,59060,"Transfer to Mobile"
807,"TxId: 10083689781. Your payment of 17,000 RWF to Jane Smith 85339 has been completed at 2024-09-08 02:40:02. Your new balance: 79,720 RWF. Fee was 0 RWF.","2024-09-08 00:40:02",17000,"unknown sender","jane smith",85339,0,79720,"Payment to Code Holder"
808,"*165*S*1000 RWF transferred to Robert Brown (250788999999) from 36521838 at 2024-09-08 15:10:30 . Fee was: 20 RWF. New balance: 60660 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 13:10:30",1000,"unknown sender","robert brown",250788999999,20,60660,"Transfer to Mobile"
809,"*165*S*1000 RWF transferred to Linda Green (250790777777) from 36521838 at 2024-09-08 02:50:48 . Fee was: 20 RWF. New balance: 77680 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 00:50:48",1000,"unknown sender","linda green",250790777777,20,77680,"Transfer to Mobile"
810,"*165*S*700 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-09-08 16:28:09 . Fee was: 20 RWF. New balance: 52540 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 14:28:09",700,"unknown sender","samuel carter",250790777777,20,52540,"Transfer to Mobile"
811,"*165*S*2000 RWF transferred to Samuel Carter (250789888888) from 36521838 at 2024-09-08 16:26:37 . Fee was: 100 RWF. New balance: 55360 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 14:26:37",2000,"unknown sender","samuel carter",250789888888,100,55360,"Transfer to Mobile"
812,"*165*S*2000 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-09-08 16:27:08 . Fee was: 100 RWF. New balance: 53260 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 14:27:08",2000,"unknown sender","jane smith",250790777777,100,53260,"Transfer to Mobile"
813,"*165*S*6200 RWF transferred to Robert Brown (250790777777) from 36521838 at 2024-09-08 18:38:42 . Fee was: 100 RWF. New balance: 44820 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 16:38:42",6200,"unknown sender","robert brown",250790777777,100,44820,"Transfer to Mobile"
814,"*165*S*20000 RWF transferred to Alex Doe (250790777777) from 36521838 at 2024-09-09 09:44:12 . Fee was: 250 RWF. New balance: 24570 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 07:44:12",20000,"unknown sender","alex doe",250790777777,250,24570,"Transfer to Mobile"
815,"*165*S*1500 RWF transferred to Linda Green (250790777777) from 36521838 at 2024-09-09 09:57:00 . Fee was: 100 RWF. New balance: 22970 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 07:57:00",1500,"unknown sender","linda green",250790777777,100,22970,"Transfer to Mobile"
816,"TxId: 13774628019. Your payment of 3,500 RWF to Linda Green 30786 has been completed at 2024-09-09 13:12:42. Your new balance: 19,470 RWF. Fee was 0 RWF.","2024-09-09 11:12:42",3500,"unknown sender","linda green",30786,0,19470,"Payment to Code Holder"
817,"*165*S*700 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-09-08 17:26:18 . Fee was: 20 RWF. New balance: 51120 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 15:26:18",700,"unknown sender","jane smith",250790777777,20,51120,"Transfer to Mobile"
818,"TxId: 65478956735. Your payment of 900 RWF to Robert Brown 77191 has been completed at 2024-09-09 13:36:13. Your new balance: 16,970 RWF. Fee was 0 RWF.","2024-09-09 11:36:13",900,"unknown sender","robert brown",77191,0,16970,"Payment to Code Holder"
819,"*165*S*1500 RWF transferred to Samuel Carter (250789888888) from 36521838 at 2024-09-08 15:46:29 . Fee was: 100 RWF. New balance: 57460 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-08 13:46:29",1500,"unknown sender","samuel carter",250789888888,100,57460,"Transfer to Mobile"
820,"TxId: 87571566840. Your payment of 700 RWF to Jane Smith 60790 has been completed at 2024-09-08 17:25:26. Your new balance: 51,840 RWF. Fee was 0 RWF.","2024-09-08 15:25:26",700,"unknown sender","jane smith",60790,0,51840,"Payment to Code Holder"
821,"TxId: 10893465854. Your payment of 5,000 RWF to Linda Green 84616 has been completed at 2024-09-09 23:25:28. Your new balance: 3,870 RWF. Fee was 0 RWF.","2024-09-09 21:25:28",5000,"unknown sender","linda green",84616,0,3870,"Payment to Code Holder"
822,"*113*R*A bank deposit of 50000 RWF has been added to your mobile money account at 2024-09-10 00:14:17. Your NEW BALANCE :53870 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-09-09 22:14:17",50000,"unknown sender","your mobile money account at",2024,0,53870,"Bank Deposit"
823,"*165*S*1500 RWF transferred to Linda Green (250791666666) from 36521838 at 2024-09-09 22:13:13 . Fee was: 100 RWF. New balance: 8870 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 20:13:13",1500,"unknown sender","linda green",250791666666,100,8870,"Transfer to Mobile"
824,"*165*S*5000 RWF transferred to Alex Doe (250789888888) from 36521838 at 2024-09-10 00:46:48 . Fee was: 100 RWF. New balance: 44770 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 22:46:48",5000,"unknown sender","alex doe",250789888888,100,44770,"Transfer to Mobile"
825,"TxId: 96684440213. Your payment of 6,500 RWF to Alex Doe 30414 has been completed at 2024-09-09 21:25:47. Your new balance: 10,470 RWF. Fee was 0 RWF.","2024-09-09 19:25:47",6500,"unknown sender","alex doe",30414,0,10470,"Payment to Code Holder"
826,"*165*S*10000 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-09-10 01:11:19 . Fee was: 100 RWF. New balance: 14420 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 23:11:19",10000,"unknown sender","samuel carter",250790777777,100,14420,"Transfer to Mobile"
827,"*165*S*500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-09-10 01:25:45 . Fee was: 20 RWF. New balance: 13900 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 23:25:45",500,"unknown sender","jane smith",250791666666,20,13900,"Transfer to Mobile"
828,"*165*S*1500 RWF transferred to Linda Green (250790777777) from 36521838 at 2024-09-09 13:30:37 . Fee was: 100 RWF. New balance: 17870 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 11:30:37",1500,"unknown sender","linda green",250790777777,100,17870,"Transfer to Mobile"
829,"*165*S*20000 RWF transferred to Robert Brown (250789888888) from 36521838 at 2024-09-10 00:51:18 . Fee was: 250 RWF. New balance: 24520 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 22:51:18",20000,"unknown sender","robert brown",250789888888,250,24520,"Transfer to Mobile"
830,"TxId: 18269992033. Your payment of 4,000 RWF to Jane Smith 88876 has been completed at 2024-09-10 00:14:44. Your new balance: 49,870 RWF. Fee was 0 RWF.","2024-09-09 22:14:44",4000,"unknown sender","jane smith",88876,0,49870,"Payment to Code Holder"
831,"*165*S*1000 RWF transferred to Robert Brown (250789888888) from 36521838 at 2024-09-10 01:38:34 . Fee was: 20 RWF. New balance: 12880 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-09 23:38:34",1000,"unknown sender","robert brown",250789888888,20,12880,"Transfer to Mobile"
832,"TxId: 79540204158. Your payment of 1,500 RWF to Linda Green 77048 has been completed at 2024-09-10 10:34:14. Your new balance: 11,380 RWF. Fee was 0 RWF.","2024-09-10 08:34:14",1500,"unknown sender","linda green",77048,0,11380,"Payment to Code Holder"
833,"*165*S*20000 RWF transferred to Robert Brown (250790777777) from 36521838 at 2024-09-10 19:24:38 . Fee was: 250 RWF. New balance: 28030 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-10 17:24:38",20000,"unknown sender","robert brown",250790777777,250,28030,"Transfer to Mobile"
834,"*165*S*5000 RWF transferred to Samuel Carter (250789888888) from 36521838 at 2024-09-10 19:28:36 . Fee was: 100 RWF. New balance: 22930 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-10 17:28:36",5000,"unknown sender","samuel carter",250789888888,100,22930,"Transfer to Mobile"
835,"TxId: 67195404064. Your payment of 1,500 RWF to Linda Green 65405 has been completed at 2024-09-10 20:35:20. Your new balance: 21,430 RWF. Fee was 0 RWF.","2024-09-10 18:35:20",1500,"unknown sender","linda green",65405,0,21430,"Payment to Code Holder"
836,"TxId: 52003402612. Your payment of 1,500 RWF to Robert Brown 11621 has been completed at 2024-09-11 09:47:33. Your new balance: 19,930 RWF. Fee was 0 RWF.","2024-09-11 07:47:33",1500,"unknown sender","robert brown",11621,0,19930,"Payment to Code Holder"
837,"*165*S*3000 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-09-11 14:00:23 . Fee was: 100 RWF. New balance: 16830 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-11 12:00:23",3000,"unknown sender","samuel carter",250791666666,100,16830,"Transfer to Mobile"
838,"TxId: 70460358419. Your payment of 2,500 RWF to Samuel Carter 79967 has been completed at 2024-09-11 14:08:32. Your new balance: 14,330 RWF. Fee was 0 RWF.","2024-09-11 12:08:32",2500,"unknown sender","samuel carter",79967,0,14330,"Payment to Code Holder"
839,"*162*TxId:15681666953*S*Your payment of 3000 RWF to Bundles and Packs with token  has been completed at 2024-09-11 15:43:54. Fee was 0 RWF. Your new balance: 11330 RWF . Message: - -. *EN#","2024-09-11 13:43:54",3000,"unknown sender","bundles and packs with token  has been completed at",2024,0,11330,"Payment to Code Holder"
841,"TxId: 14667936406. Your payment of 1,500 RWF to Linda Green 57182 has been completed at 2024-09-11 16:11:26. Your new balance: 9,830 RWF. Fee was 0 RWF.","2024-09-11 14:11:26",1500,"unknown sender","linda green",57182,0,9830,"Payment to Code Holder"
842,"*165*S*3000 RWF transferred to Linda Green (250788999999) from 36521838 at 2024-09-10 13:32:39 . Fee was: 100 RWF. New balance: 8280 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-10 11:32:39",3000,"unknown sender","linda green",250788999999,100,8280,"Transfer to Mobile"
843,"*113*R*A bank deposit of 50000 RWF has been added to your mobile money account at 2024-09-10 18:17:00. Your NEW BALANCE :58280 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-09-10 16:17:00",50000,"unknown sender","your mobile money account at",2024,0,58280,"Bank Deposit"
844,"*165*S*1500 RWF transferred to Linda Green (250788999999) from 36521838 at 2024-09-12 15:24:00 . Fee was: 100 RWF. New balance: 5630 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-12 13:24:00",1500,"unknown sender","linda green",250788999999,100,5630,"Transfer to Mobile"
845,"*165*S*700 RWF transferred to Alex Doe (250789888888) from 36521838 at 2024-09-12 15:59:14 . Fee was: 20 RWF. New balance: 4910 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-09-12 13:59:14",700,"unknown sender","alex doe",250789888888,20,4910,"Transfer to Mobile"
846,"TxId: 40728069150. Your payment of 700 RWF to Samuel Carter 87737 has been completed at 2024-09-12 15:59:45. Your new balance: 4,210 RWF. Fee was 0 RWF.","2024-09-12 13:59:45",700,"unknown sender","samuel carter",87737,0,4210,"Payment to Code Holder"
